timer, data_availability, working_mean, working_std
150, 0.956025, 0.250333, 0.007219
175, 0.968255, 0.251000, 0.007219
200, 0.984940, 0.251667, 0.007219
250, 0.995492, 0.253000, 0.007219
300, 0.999007, 0.254333, 0.007219
350, 0.999563, 0.255667, 0.007219
400, 0.999912, 0.257000, 0.007219
450, 1.000000, 0.258333, 0.007219
500, 1.000000, 0.259667, 0.007219
